,id,owner_name,owner_is_human,owner_result,is_army,is_building,is_worker,started_at,finished_at,died_at
JinairRogue50069505,50069505,JinairRogue,True,Loss,False,False,False,0,0,NA
JinairRogue50331649,50331649,JinairRogue,True,Loss,False,False,False,0,0,NA
JinairRogue5242882,5242882,JinairRogue,True,Loss,False,True,False,23441,23712,NA
JinairRogue54525953,54525953,JinairRogue,True,Loss,False,True,False,0,0,NA
JinairRogue54788097,54788097,JinairRogue,True,Loss,False,False,False,0,0,289
JinairRogue55050241,55050241,JinairRogue,True,Loss,False,False,False,0,0,690
JinairRogue55050242,55050242,JinairRogue,True,Loss,False,False,False,770,770,1471
JinairRogue55050243,55050243,JinairRogue,True,Loss,False,False,False,1490,1490,2059
JinairRogue55050244,55050244,JinairRogue,True,Loss,False,False,False,2210,2210,2494
JinairRogue55312385,55312385,JinairRogue,True,Loss,False,False,False,0,0,672
JinairRogue55312386,55312386,JinairRogue,True,Loss,True,False,False,690,690,NA
JinairRogue55574529,55574529,JinairRogue,True,Loss,False,False,True,0,0,8859
JinairRogue55574548,55574548,JinairRogue,True,Loss,False,False,False,9632,9632,10125
JinairRogue55574549,55574549,JinairRogue,True,Loss,False,False,True,10127,10127,NA
JinairRogue55836673,55836673,JinairRogue,True,Loss,False,False,True,0,0,5462
JinairRogue55836675,55836675,JinairRogue,True,Loss,False,False,False,8261,8261,8596
JinairRogue55836676,55836676,JinairRogue,True,Loss,False,False,False,8618,8618,9066
JinairRogue55836688,55836688,JinairRogue,True,Loss,False,False,False,9531,9531,9853
JinairRogue55836689,55836689,JinairRogue,True,Loss,False,False,True,9855,9855,NA
JinairRogue56098817,56098817,JinairRogue,True,Loss,False,False,True,0,0,NA
JinairRogue56360961,56360961,JinairRogue,True,Loss,False,False,True,0,0,24162
JinairRogue56360963,56360963,JinairRogue,True,Loss,False,False,False,24339,24339,25044
JinairRogue56360964,56360964,JinairRogue,True,Loss,True,False,False,25050,25050,25440
JinairRogue56360965,56360965,JinairRogue,True,Loss,True,False,False,25446,25446,25924
JinairRogue56360967,56360967,JinairRogue,True,Loss,True,False,False,25961,25961,26243
JinairRogue56360968,56360968,JinairRogue,True,Loss,False,True,False,26377,26617,NA
JinairRogue56623105,56623105,JinairRogue,True,Loss,False,False,True,0,0,15005
JinairRogue56623116,56623116,JinairRogue,True,Loss,False,True,False,15934,17534,NA
JinairRogue56885249,56885249,JinairRogue,True,Loss,False,False,True,0,0,8956
JinairRogue56885252,56885252,JinairRogue,True,Loss,True,False,False,9066,9066,NA
JinairRogue57147393,57147393,JinairRogue,True,Loss,False,False,True,0,0,10411
JinairRogue57147394,57147394,JinairRogue,True,Loss,True,False,False,10612,10612,14171
JinairRogue57147395,57147395,JinairRogue,True,Loss,True,False,False,14173,14173,15358
JinairRogue57147397,57147397,JinairRogue,True,Loss,True,False,False,15791,15791,16696
JinairRogue57147403,57147403,JinairRogue,True,Loss,True,False,False,16900,16900,17646
JinairRogue57409537,57409537,JinairRogue,True,Loss,False,False,True,0,0,8197
JinairRogue57409540,57409540,JinairRogue,True,Loss,False,False,False,8407,8407,8741
JinairRogue57409558,57409558,JinairRogue,True,Loss,False,False,False,13094,13094,13893
JinairRogue57409559,57409559,JinairRogue,True,Loss,True,False,False,13899,13899,15328
JinairRogue57409561,57409561,JinairRogue,True,Loss,True,False,False,15797,15797,16733
JinairRogue57409569,57409569,JinairRogue,True,Loss,True,False,False,16796,16796,17537
JinairRogue57409578,57409578,JinairRogue,True,Loss,False,False,False,24823,24823,25447
JinairRogue57409579,57409579,JinairRogue,True,Loss,True,False,False,25449,25449,25932
JinairRogue57671681,57671681,JinairRogue,True,Loss,False,False,True,0,0,5965
JinairRogue57671683,57671683,JinairRogue,True,Loss,True,False,False,5986,5986,28384
JinairRogue57933825,57933825,JinairRogue,True,Loss,False,False,True,0,0,NA
JinairRogue58195969,58195969,JinairRogue,True,Loss,False,False,True,0,0,NA
JinairRogue58458113,58458113,JinairRogue,True,Loss,False,False,True,0,0,8229
