,cutoff_time,num_buildings_built,num_buildings_destroyed,num_buildings_lost,num_soldiers_built,num_soldiers_destroyed,num_soldiers_lost,num_workers_built,num_workers_destroyed,num_workers_lost,result
99,6490.0,30,1,1,14,4,7,25,1,1,0
100,10307.0,38,2,4,26,38,20,47,2,6,1
101,10307.0,32,4,2,40,20,38,25,6,2,0
102,646.0,21,0,1,1,0,0,13,0,0,0
103,646.0,16,1,0,0,0,0,14,0,0,1
104,693.0,21,0,3,2,0,0,14,0,0,0
105,693.0,16,3,0,0,0,0,14,0,0,1
106,13519.0,260,6,200,127,54,90,98,0,37,0
107,13519.0,62,200,6,72,90,54,70,37,0,1
108,374.0,20,0,1,1,0,0,13,0,0,0
109,374.0,16,1,0,0,0,0,13,0,0,1
110,2405.0,29,0,11,2,0,0,22,0,1,0
111,2405.0,19,11,0,0,0,0,20,1,0,1
112,8171.0,119,20,83,127,4,83,39,0,9,0
113,8171.0,56,83,20,11,83,4,52,9,0,1
114,171.0,19,0,0,1,0,0,12,0,0,0
115,171.0,19,0,0,1,0,0,12,0,0,1
116,1452.0,24,5,4,2,0,0,15,1,1,0
117,1452.0,25,4,5,1,0,0,16,1,1,1
118,5169.0,45,30,24,19,10,14,26,4,16,0
119,5169.0,54,24,30,41,14,10,22,16,4,1
120,2662.0,31,11,10,11,0,0,15,1,2,0
121,2662.0,35,10,11,14,0,0,15,2,1,1
122,3626.0,38,13,16,22,1,0,15,2,3,0
123,3626.0,41,16,13,16,0,1,16,3,2,1
124,15569.0,169,186,148,155,69,149,69,26,69,0
125,15569.0,249,148,186,124,149,69,80,69,26,1
126,931.0,21,0,2,1,0,0,14,0,0,1
127,931.0,17,2,0,0,0,0,15,0,0,0
128,1953.0,25,0,5,1,0,0,17,0,1,1
129,1953.0,18,5,0,0,0,0,19,1,0,0
130,5056.0,56,4,30,46,4,9,19,14,4,1
131,5056.0,29,30,4,4,9,4,28,4,14,0
132,427.0,20,0,1,1,0,0,13,0,0,0
133,427.0,16,1,0,0,0,0,13,0,0,1
134,2121.0,28,0,9,2,0,0,20,0,1,0
135,2121.0,19,9,0,0,0,0,20,1,0,1
136,7568.0,90,13,61,104,4,85,24,0,5,0
137,7568.0,49,61,13,12,85,4,45,5,0,1
138,3512.0,39,0,17,2,0,0,28,0,3,0
139,3512.0,27,17,0,1,0,0,25,3,0,1
140,6123.0,77,13,43,16,1,3,47,0,7,0
141,6123.0,47,43,13,7,3,1,42,7,0,1
142,11468.0,170,69,120,84,9,51,61,0,18,0
143,11468.0,118,120,69,40,51,9,63,18,0,1
144,210.0,19,0,0,1,0,0,12,0,0,1
145,210.0,16,0,0,0,0,0,12,0,0,0
146,3365.0,38,0,15,7,0,0,23,0,3,1
147,3365.0,22,15,0,1,0,0,24,3,0,0
148,6792.0,84,9,51,87,3,51,23,27,5,1
149,6792.0,35,51,9,6,51,3,43,5,27,0
