,id,owner_name,owner_is_human,is_army,is_building,is_worker,started_at,finished_at,died_at
kalaffior49807361,49807361,kalaffior,True,NA,NA,NA,0,0,NA
kalaffior50069505,50069505,kalaffior,True,NA,NA,NA,0,0,NA
kalaffior50593794,50593794,kalaffior,True,NA,NA,NA,322,322,NA
kalaffior51118082,51118082,kalaffior,True,NA,NA,NA,711,1191,NA
kalaffior51642375,51642375,kalaffior,True,NA,NA,NA,8235,8316,11352
kalaffior53215235,53215235,kalaffior,True,NA,NA,NA,2301,2301,NA
kalaffior53477382,53477382,kalaffior,True,NA,NA,NA,6785,6866,11086
kalaffior55312385,55312385,kalaffior,True,NA,NA,NA,495,895,11716
kalaffior55836673,55836673,kalaffior,True,NA,NA,NA,593,593,NA
kalaffior56360963,56360963,kalaffior,True,NA,NA,NA,1691,1691,NA
kalaffior56623105,56623105,kalaffior,True,NA,NA,NA,864,864,NA
kalaffior57147393,57147393,kalaffior,True,NA,NA,NA,1039,2079,11634
kalaffior57409537,57409537,kalaffior,True,NA,NA,NA,1168,1168,NA
kalaffior58458113,58458113,kalaffior,True,NA,NA,NA,1439,1439,NA
kalaffior58720258,58720258,kalaffior,True,NA,NA,NA,1872,1872,NA
kalaffior58982401,58982401,kalaffior,True,NA,NA,NA,1531,2571,11507
kalaffior59244547,59244547,kalaffior,True,NA,NA,NA,3893,5493,NA
kalaffior59506694,59506694,kalaffior,True,NA,NA,NA,6194,6594,10285
kalaffior60293121,60293121,kalaffior,True,NA,NA,NA,2053,2053,NA
kalaffior60817409,60817409,kalaffior,True,NA,NA,NA,2221,3021,11438
kalaffior61341699,61341699,kalaffior,True,NA,NA,NA,3997,3997,5432
kalaffior61603841,61603841,kalaffior,True,NA,NA,NA,2545,2945,NA
kalaffior61865985,61865985,kalaffior,True,NA,NA,NA,2624,3104,NA
kalaffior62390273,62390273,kalaffior,True,NA,NA,NA,2799,2799,NA
kalaffior62914561,62914561,kalaffior,True,NA,NA,NA,3057,4017,NA
kalaffior63176705,63176705,kalaffior,True,NA,NA,NA,3070,3070,NA
kalaffior64487425,64487425,kalaffior,True,NA,NA,NA,3422,3422,NA
kalaffior65011713,65011713,kalaffior,True,NA,NA,NA,3682,3682,4925
kalaffior65536001,65536001,kalaffior,True,NA,NA,NA,3693,3693,NA
kalaffior65798148,65798148,kalaffior,True,NA,NA,NA,4347,4987,11614
kalaffior66322433,66322433,kalaffior,True,NA,NA,NA,3964,3964,NA
kalaffior67108868,67108868,kalaffior,True,NA,NA,NA,5613,5613,11026
kalaffior68943874,68943874,kalaffior,True,NA,NA,NA,5979,5979,NA
kalaffior69206019,69206019,kalaffior,True,NA,NA,NA,7051,7451,NA
kalaffior70254593,70254593,kalaffior,True,NA,NA,NA,4413,NA,4433
kalaffior70254594,70254594,kalaffior,True,NA,NA,NA,4476,4876,11806
kalaffior71041025,71041025,kalaffior,True,NA,NA,NA,4591,4991,11867
kalaffior72089602,72089602,kalaffior,True,NA,NA,NA,4934,4934,NA
kalaffior72613896,72613896,kalaffior,True,NA,NA,NA,6008,6408,NA
kalaffior74186753,74186753,kalaffior,True,NA,NA,NA,5677,6717,NA
kalaffior74448897,74448897,kalaffior,True,NA,NA,NA,5708,5708,NA
kalaffior74711041,74711041,kalaffior,True,NA,NA,NA,5708,5708,8182
kalaffior74711042,74711042,kalaffior,True,NA,NA,NA,8233,8314,11217
kalaffior74711049,74711049,kalaffior,True,NA,NA,NA,11291,11372,11710
kalaffior75497474,75497474,kalaffior,True,NA,NA,NA,5749,6789,NA
kalaffior76546049,76546049,kalaffior,True,NA,NA,NA,5769,5769,11090
kalaffior77594628,77594628,kalaffior,True,NA,NA,NA,6735,6816,11253
kalaffior77594638,77594638,kalaffior,True,NA,NA,NA,11411,11492,11558
kalaffior78118939,78118939,kalaffior,True,NA,NA,NA,11518,11710,11804
kalaffior79167492,79167492,kalaffior,True,NA,NA,NA,8428,8428,NA
kalaffior82575363,82575363,kalaffior,True,NA,NA,NA,8240,8321,11104
kalaffior82575365,82575365,kalaffior,True,NA,NA,NA,11414,11495,11567
kalaffior83099649,83099649,kalaffior,True,NA,NA,NA,7225,8025,NA
kalaffior84148226,84148226,kalaffior,True,NA,NA,NA,7484,7484,NA
kalaffior84410369,84410369,kalaffior,True,NA,NA,NA,7491,7491,NA
kalaffior84934661,84934661,kalaffior,True,NA,NA,NA,9961,11001,NA
kalaffior85196801,85196801,kalaffior,True,NA,NA,NA,7556,8596,NA
kalaffior85458945,85458945,kalaffior,True,NA,NA,NA,7597,7597,9372
kalaffior86245377,86245377,kalaffior,True,NA,NA,NA,7624,8104,NA
kalaffior86507521,86507521,kalaffior,True,NA,NA,NA,7650,8130,NA
kalaffior86769665,86769665,kalaffior,True,NA,NA,NA,7665,7665,11866
kalaffior87031809,87031809,kalaffior,True,NA,NA,NA,7672,7672,NA
kalaffior87818242,87818242,kalaffior,True,NA,NA,NA,7880,7880,NA
kalaffior89391107,89391107,kalaffior,True,NA,NA,NA,8730,9450,NA
kalaffior92274690,92274690,kalaffior,True,NA,NA,NA,8558,8558,NA
kalaffior92798978,92798978,kalaffior,True,NA,NA,NA,8553,8553,NA
kalaffior93323266,93323266,kalaffior,True,NA,NA,NA,8734,8734,NA
kalaffior93585409,93585409,kalaffior,True,NA,NA,NA,8739,8739,NA
kalaffior93847553,93847553,kalaffior,True,NA,NA,NA,8751,9471,NA
kalaffior94371841,94371841,kalaffior,True,NA,NA,NA,8951,8951,NA
kalaffior94633985,94633985,kalaffior,True,NA,NA,NA,8954,8954,NA
kalaffior96206855,96206855,kalaffior,True,NA,NA,NA,11075,11075,11452
kalaffior98566146,98566146,kalaffior,True,NA,NA,NA,9918,10958,NA
kalaffior99614729,99614729,kalaffior,True,NA,NA,NA,9914,10954,NA
